make,fuel-type,num-of-doors,body-style,curb-weight,engine-size,horsepower,city-mpg,highway-mpg,price,volume,eco-rating
alfa-romero,gas,two,convertible,2548,130,111,21,27,13495,528019.904,33.297461674963515
alfa-romero,gas,two,convertible,2548,130,111,21,27,16500,528019.904,33.297461674963515
alfa-romero,gas,two,hatchback,2823,152,154,19,26,16500,587592.6399999999,30.898272311527514
audi,gas,four,sedan,2337,109,102,24,30,13950,634816.956,42.69781858423477
audi,gas,four,sedan,2824,136,115,18,22,17450,636734.8319999999,27.997458849427304
audi,gas,two,sedan,2507,136,110,19,25,15250,624189.969,32.91427765646547
audi,gas,four,sedan,2844,136,110,19,25,17710,766364.0460000001,34.33768460544748
audi,gas,four,wagon,2954,136,110,19,25,18920,766364.0460000001,33.640553030762646
audi,gas,four,sedan,3086,131,140,17,20,23875,769115.802,27.185013749345018
audi,gas,two,hatchback,3053,131,160,16,22,,629188.56,25.008889883941137
bmw,gas,two,sedan,2395,108,101,23,29,16430,622095.5519999999,40.22990201020061
bmw,gas,four,sedan,2395,108,101,23,29,16925,622095.5519999999,40.22990201020061
bmw,gas,two,sedan,2710,164,121,21,28,20970,622095.5519999999,35.669515648340585
bmw,gas,four,sedan,2765,164,121,21,28,21105,622095.5519999999,35.352279704222056
bmw,gas,four,sedan,3055,164,121,20,25,24565,704276.3700000001,32.45364601917706
bmw,gas,four,sedan,3230,209,182,16,22,30760,704276.3700000001,25.839363241874878
bmw,gas,two,sedan,3380,209,182,16,22,41315,706639.3740000002,25.215666385674297
bmw,gas,four,sedan,3505,209,182,15,20,36880,786358.99,23.815037445218266
chevrolet,gas,two,hatchback,1488,61,48,47,53,5151,452643.156,82.72271776062964
chevrolet,gas,two,hatchback,1874,90,70,38,43,6295,515592.48,65.10561250103834
chevrolet,gas,four,sedan,1909,90,70,38,43,6575,525183.36,65.10420594807894
dodge,gas,two,hatchback,1876,90,68,37,41,5572,509815.59199999995,62.40849651249544
dodge,gas,two,hatchback,1876,90,68,31,38,6377,509815.59199999995,55.02009680657708
dodge,gas,two,hatchback,2128,98,102,24,30,7957,509815.59199999995,40.470280438768924
dodge,gas,four,hatchback,1967,90,68,31,38,6229,507808.444,54.075741361398755
dodge,gas,four,sedan,1989,90,68,31,38,6692,507808.444,53.877355605947244
dodge,gas,four,sedan,1989,90,68,31,38,7609,507808.444,53.877355605947244
dodge,gas,,sedan,2191,98,102,24,30,8558,507808.444,39.92804208926681
dodge,gas,four,wagon,2535,122,88,24,30,8921,674493.7679999998,42.31118751036275
dodge,gas,two,hatchback,2811,156,145,19,24,12964,576454.632,29.042858675142508
honda,gas,two,hatchback,1713,92,58,49,54,6479,469388.95199999993,83.08877400645349
honda,gas,two,hatchback,1819,92,76,31,38,6855,469388.95199999993,54.067673626001586
honda,gas,two,hatchback,1837,79,60,38,42,5399,504960.0,64.26755851366451
honda,gas,two,hatchback,1940,92,76,30,34,6529,504960.0,50.11869016478949
honda,gas,two,hatchback,1956,92,76,30,34,7129,504960.0,49.970767947150534
honda,gas,four,sedan,2010,92,76,30,34,7295,569939.2000000001,51.73489398670136
honda,gas,four,wagon,2024,92,76,30,34,7295,585255.6269999999,52.12437486531009
honda,gas,two,hatchback,2236,110,86,27,33,7895,582089.2999999999,46.83756247371362
honda,gas,two,hatchback,2289,110,86,27,33,9095,582089.2999999999,46.41879308937564
honda,gas,four,sedan,2304,110,86,27,33,8845,618691.9280000001,47.407486117851334
honda,gas,four,sedan,2372,110,86,27,33,10295,593071.25,46.12224171303624
honda,gas,four,sedan,2465,110,101,24,28,12945,618691.9280000001,39.62151291251313
honda,gas,two,sedan,2293,110,100,25,31,10345,569190.6,42.71342737778647
isuzu,gas,four,sedan,2337,111,78,24,29,6785,564385.4099999999,39.78308362889294
isuzu,gas,two,sedan,1874,90,70,38,43,,515592.48,65.10561250103834
isuzu,gas,four,sedan,1909,90,70,38,43,,515592.48,64.75516244519751
isuzu,gas,two,hatchback,2734,119,90,24,29,11048,578430.928,37.703669962575916
jaguar,gas,four,sedan,4066,258,176,15,19,32250,733506.0479999998,19.940439991049548
jaguar,gas,four,sedan,4066,258,176,15,19,35550,733506.0479999998,19.940439991049548
jaguar,gas,two,sedan,3950,326,262,13,17,36000,646926.1559999998,15.501957160750948
mazda,gas,two,hatchback,1890,91,68,30,31,5195,552589.302,49.88510120785545
mazda,gas,two,hatchback,1900,91,68,31,38,6095,552589.302,56.34565865495094
