Year,Species,Wing,Weight,Tail,Hallux,Coopers?,Red-tailed?,Sharp-shinned?
1992,RT,385.0,920.0,219,30.1,0,1,0
1992,RT,381.0,990.0,235,31.3,0,1,0
1992,CH,265.0,470.0,220,23.5,1,0,0
1992,RT,370.0,960.0,212,30.1,0,1,0
1992,RT,405.0,1120.0,238,30.2,0,1,0
1992,RT,393.0,1010.0,222,30.8,0,1,0
1992,RT,436.0,1390.0,232,34.0,0,1,0
1992,RT,418.0,1150.0,238,31.0,0,1,0
1992,RT,378.0,910.0,227,28.2,0,1,0
1992,RT,396.0,1010.0,227,26.9,0,1,0
1992,RT,399.0,1070.0,222,31.2,0,1,0
1992,RT,416.0,1190.0,237,31.6,0,1,0
1992,RT,415.0,101.0,238,30.7,0,1,0
1992,RT,380.0,990.0,211,30.0,0,1,0
1992,RT,401.0,1190.0,245,31.6,0,1,0
1992,SS,205.0,180.0,164,15.0,0,0,1
1992,RT,395.0,1040.0,207,31.4,0,1,0
1992,RT,396.0,1030.0,200,29.7,0,1,0
1992,RT,391.0,1300.0,215,32.4,0,1,0
1992,RT,413.0,1500.0,219,31.3,0,1,0
1992,RT,371.0,1080.0,198,27.2,0,1,0
1993,SS,193.0,100.0,144,101.0,0,0,1
1993,CH,233.0,324.0,191,19.3,1,0,0
1993,RT,384.0,1060.0,230,31.2,0,1,0
1993,RT,390.0,1030.0,208,30.3,0,1,0
1993,RT,393.0,1050.0,222,29.8,0,1,0
1993,RT,378.0,1040.0,225,31.2,0,1,0
1993,RT,410.0,1255.0,229,31.4,0,1,0
1993,RT,241.0,1320.0,235,36.4,0,1,0
1993,RT,380.0,760.0,212,26.1,0,1,0
1993,RT,416.0,1300.0,235,32.7,0,1,0
1993,SS,176.0,100.0,133,11.1,0,0,1
1993,RT,390.0,1080.0,209,29.1,0,1,0
1993,RT,391.0,1130.0,212,29.4,0,1,0
1993,RT,420.0,1345.0,250,34.3,0,1,0
1993,RT,400.0,1210.0,222,28.6,0,1,0
1993,RT,398.0,1455.0,236,31.5,0,1,0
1994,RT,369.0,1025.0,228,31.5,0,1,0
1994,RT,372.0,930.0,220,31.1,0,1,0
1994,RT,412.0,1255.0,236,32.6,0,1,0
1994,SS,205.0,194.0,155,14.4,0,0,1
1994,SS,204.0,159.0,152,14.8,0,0,1
1994,SS,170.0,90.0,135,11.3,0,0,1
1994,CH,233.0,340.0,186,19.4,1,0,0
1994,RT,375.0,1065.0,216,30.0,0,1,0
1994,RT,385.0,1125.0,233,31.4,0,1,0
1994,RT,422.0,1340.0,248,32.0,0,1,0
1994,RT,385.0,980.0,223,27.8,0,1,0
1994,RT,381.0,1000.0,219,29.8,0,1,0
